"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"MPP4",-32.4809847198642,64.7586956521739,-2.7594190387965,0.00743623133881663,0.0206818065767817,-4.43350833327882,"Downregulated"
"RBM22",160.35466893039,1172.54782608696,2.75906451782441,0.00744347507362168,0.0206986571858874,-4.43355225734374,"Upregulated"
"CUTC",-131.865704584041,663.849275362319,-2.7590276670952,0.00744422839559868,0.0206986571858874,-4.43355682284001,"Downregulated"
"ZBTB33",183.554923599321,1042.15434782609,2.75848726801209,0.00745528354790686,0.0207266975699879,-4.43362376950433,"Upregulated"
"SLC35G1",-134.62843803056,347.382608695652,-2.75826493231322,0.0074598363230393,0.0207366555188273,-4.43365131097362,"Downregulated"
"POU4F2",-31.1506791171477,93.7768115942029,-2.75766155473746,0.00747220455061959,0.0207683332362809,-4.43372604658907,"Downregulated"
"LINC00856",-72.5568760611205,193.892753623188,-2.75760492940399,0.00747336623915843,0.0207688591762793,-4.43373305981254,"Downregulated"
"ALDH1A2",-33.2018675721562,75.2536231884058,-2.75748564644914,0.00747581391241856,0.020772958330409,-4.43374783309099,"Downregulated"
"BRD7",112.153501697793,847.218115942029,2.75707918237436,0.007484160030125,0.0207934442257551,-4.43379817104092,"Upregulated"
"RIT1",-125.995670628184,475.510434782609,-2.75688020287735,0.00748824888261095,0.0208020982551928,-4.43382281172345,"Downregulated"
"NACA2",-41.1340407470288,114.688405797101,-2.75676036350781,0.00749071246337364,0.0208062356717741,-4.43383765154473,"Downregulated"
"RELN",-71.4702886247877,217.378260869565,-2.75626636414245,0.00750087562968643,0.0208317556337078,-4.43389881981224,"Downregulated"
"C18orf54",25.914142614601,117.054782608696,2.75573201169057,0.0075118832174457,0.0208596138180975,-4.43396497720533,"Upregulated"
"UBE2B",-196.431542566092,1460.6364389234,-2.75525032873474,0.00752181850676921,0.0208827308068561,-4.43402460698636,"Downregulated"
"MGAT1",189.784295415959,1115.88985507246,2.75523360818795,0.00752216360430509,0.0208827308068561,-4.43402667678713,"Upregulated"
"MGC4859",-25.4489813242784,40.336231884058,-2.75498774036699,0.00752723977791172,0.0208941070882325,-4.43405711135806,"Downregulated"
"MAFF",761.522665534805,2648.93768115942,2.7549129464514,0.00752878459166679,0.0208956793403805,-4.43406636934153,"Upregulated"
"PLSCR2",-27.0561544991511,57.504347826087,-2.75486108569357,0.00752985590835615,0.0208959371926666,-4.43407278857132,"Downregulated"
"PLCB2",-31.0721137521222,99.5507246376812,-2.7543251534207,0.00754093514587572,0.0209239641302414,-4.43413912098661,"Downregulated"
"DACT1",178.980220713073,356.133333333333,2.75411653804757,0.00754525185429568,0.0209332221164189,-4.43416493922035,"Upregulated"
"CLUAP1",40.6448783248444,227.702415458937,2.75396778248337,0.00754833131527222,0.0209380987262873,-4.43418334847937,"Upregulated"
"ULBP1",-65.885314091681,184.292753623188,-2.75393691945541,0.00754897037001507,0.0209380987262873,-4.4341871678606,"Downregulated"
"TRANK1",-96.3009337860782,502.484057971014,-2.75382992075828,0.00755118628590703,0.0209415251925875,-4.4342004090305,"Downregulated"
"C2orf68",-57.3148132427842,350.101449275362,-2.75375973664722,0.00755264010476607,0.0209428375379757,-4.43420909419756,"Downregulated"
"SERAC1",50.2125212224109,266.571014492754,2.75352278268297,0.0075575503492856,0.0209537326768392,-4.43423841586236,"Upregulated"
"PBX3-DT",-50.8428692699491,93.7608695652174,-2.75340347568716,0.00756002377852414,0.0209578696570535,-4.4342531788233,"Downregulated"
"SMKR1",86.9378607809847,158.730434782609,2.75313077619475,0.00756568007099292,0.0209708279398048,-4.43428692099942,"Upregulated"
"SNAPC5",121.297085455575,778.764734299517,2.75288661989346,0.00757074761494649,0.0209821511565549,-4.43431712969001,"Upregulated"
"NOL12",64.1469439728354,218.772463768116,2.75276137963118,0.00757334822433927,0.0209866352701718,-4.43433262464105,"Upregulated"
"LINC02256",-101.83259762309,275.366666666667,-2.75262021035374,0.00757628058051723,0.020992037410237,-4.43435008984444,"Downregulated"
"TRIM39",-84.2710526315794,589.289855072464,-2.75230646994885,0.00758280129529678,0.0210073793311264,-4.43438890327907,"Downregulated"
"PAQR9",-16.7780560271647,35.1550724637681,-2.75217517267642,0.00758553167633993,0.0210122179003362,-4.43440514552061,"Downregulated"
"RPS11",-4638.1820033956,22230.384057971,-2.75203093956454,0.00758853210186465,0.0210178031512804,-4.4344229874578,"Downregulated"
